cell_id,model_key,model_served,prompt_id,lang,gen,fk_tier,stance,n_tokens,n_sentences,translator,source_cell_id,mattr,hapax_rate,mean_token_len,zipf_slope,sent_len_mean,sent_len_sd,burstiness,dep_depth,subord_rate,func_word_ratio,first_person_rate,para_count,para_len_mean,question_rate,connective_rate,comma_per_1k,colon_per_1k,dash_per_1k,semicolon_per_1k,bigram_entropy,digit_rate
gemini|P01|tr|1|google,gemini,google/gemini-3.5-flash,P01,tr,1,general,for,364,21,google,gemini|P01|en|1,0.922031746031746,0.5604395604395604,6.549450549450549,-0.4259585953474784,17.333333333333332,5.986094998689323,-0.4866001933272858,5.380952380952381,1.0476190476190477,0.1675824175824175,0.0,5,72.8,0.0,30.21978021978022,68.68131868131869,0.0,0.0,2.747252747252748,7.788941619405566,2.875924404272802
gemini|P02|es|0|google,gemini,google/gemini-3.5-flash,P02,es,0,educated,for,422,16,google,gemini|P02|en|0,0.7888471849865952,0.433649289099526,5.6350710900473935,-0.6002515927026761,26.375,9.365717626891527,-0.4759076902336899,5.6875,1.4375,0.4407582938388625,2.3696682464454977,4,105.5,0.0,61.611374407582936,63.98104265402844,0.0,0.0,0.0,7.315927938861657,0.0
gemini|P01|hi|1|google,gemini,google/gemini-3.5-flash,P01,hi,1,general,for,469,22,google,gemini|P01|en|1,0.841047619047619,0.4029850746268656,4.44136460554371,-0.5903892912770681,21.318181818181817,8.785195141808387,-0.4163315860885233,5.090909090909091,0.6363636363636364,0.3880597014925373,0.0,5,93.8,0.0,46.908315565031984,57.569296375266525,0.0,8.528784648187633,2.1321961620469083,7.988016872139843,3.2725572697522205
gemini|P02|zh|0|google,gemini,google/gemini-3.5-flash,P02,zh,0,educated,for,371,16,google,gemini|P02|en|0,0.872360248447205,0.4716981132075472,1.6172506738544474,-0.5293598301537702,23.1875,8.79559548865226,-0.4499847276025564,5.1875,2.5,0.3045822102425876,2.6954177897574123,4,92.75,0.0,153.63881401617252,91.64420485175202,0.0,0.0,0.0,8.936582744621544,0.0
gemini|P02|ja|0|google,gemini,google/gemini-3.5-flash,P02,ja,0,educated,for,542,16,google,gemini|P02|en|0,0.7835699797160244,0.2970479704797047,1.6992619926199262,-0.7635626266127732,33.875,10.5,-0.5267605633802817,6.625,4.4375,0.4630996309963099,0.0,4,135.5,0.0,44.28044280442804,77.49077490774907,0.0,0.0,0.0,9.033532836896738,0.0
gemini|P02|ru|0|google,gemini,google/gemini-3.5-flash,P02,ru,0,educated,for,318,16,google,gemini|P02|en|0,0.9349442379182156,0.6855345911949685,7.333333333333333,-0.3361959970130807,19.875,7.614678806971002,-0.4459972515182661,6.1875,1.375,0.2327044025157232,0.0,4,79.5,0.0,66.0377358490566,94.33962264150944,0.0,6.289308176100629,0.0,7.915247399217745,0.0
gemini|P02|tr|0|google,gemini,google/gemini-3.5-flash,P02,tr,0,educated,for,329,16,google,gemini|P02|en|0,0.8968571428571429,0.6170212765957447,6.708206686930091,-0.4010940744316183,20.5625,7.247700784846645,-0.4787739332830846,6.1875,1.25,0.1762917933130699,0.0,4,82.25,0.0,54.7112462006079,75.98784194528875,0.0,0.0,0.0,7.656540840596333,0.0
gemini|P02|es|1|google,gemini,google/gemini-3.5-flash,P02,es,1,educated,for,429,16,google,gemini|P02|en|1,0.8056842105263157,0.4358974358974359,5.631701631701632,-0.5922654763410439,26.8125,7.082548976180822,-0.5820894679244768,6.125,1.375,0.4405594405594406,2.331002331002331,4,107.25,0.0,62.93706293706294,60.60606060606061,0.0,0.0,0.0,7.331214865270715,0.0
gemini|P02|hi|0|google,gemini,google/gemini-3.5-flash,P02,hi,0,educated,for,451,16,google,gemini|P02|en|0,0.8427860696517413,0.3725055432372505,4.401330376940133,-0.6198384367693166,28.1875,9.071705095147951,-0.5130489192143657,5.6875,1.1875,0.4124168514412417,2.217294900221729,4,112.75,0.0,64.30155210643015,57.649667405764966,0.0,0.0,0.0,7.8940395889420705,0.0
gemini|P02|zh|1|google,gemini,google/gemini-3.5-flash,P02,zh,1,educated,for,363,16,google,gemini|P02|en|1,0.8722292993630575,0.4628099173553719,1.6528925619834711,-0.5046619731115219,22.6875,5.8619535992704686,-0.5893474052743161,5.1875,2.5625,0.303030303030303,2.7548209366391183,4,90.75,0.0,137.7410468319559,90.9090909090909,0.0,0.0,0.0,8.976676074538855,0.0
gemini|P02|ru|1|google,gemini,google/gemini-3.5-flash,P02,ru,1,educated,for,330,16,google,gemini|P02|en|1,0.9251245551601422,0.7,7.315151515151515,-0.3176378773512045,20.625,5.5,-0.5789473684210527,6.3125,1.4375,0.2454545454545454,6.0606060606060606,4,82.5,0.0,66.66666666666667,84.84848484848484,3.0303030303030303,9.090909090909092,0.0,7.927550816725125,0.0
gemini|P02|ja|1|google,gemini,google/gemini-3.5-flash,P02,ja,1,educated,for,538,16,google,gemini|P02|en|1,0.7741104294478527,0.2788104089219331,1.7007434944237918,-0.7609334918160499,33.625,9.120489752931766,-0.5732653991965913,6.75,4.125,0.4702602230483271,0.0,4,134.5,0.0,53.90334572490706,78.06691449814126,0.0,0.0,0.0,9.009363525162636,0.0
gemini|P02|tr|1|google,gemini,google/gemini-3.5-flash,P02,tr,1,educated,for,334,16,google,gemini|P02|en|1,0.888561403508772,0.5958083832335329,6.619760479041916,-0.4015099657748021,20.875,4.924428900898052,-0.6182528753009229,5.9375,1.1875,0.1766467065868263,0.0,4,83.5,0.0,47.90419161676647,62.87425149700599,0.0,0.0,0.0,7.7209065981474465,0.0
gemini|P02|hi|1|google,gemini,google/gemini-3.5-flash,P02,hi,1,educated,for,464,16,google,gemini|P02|en|1,0.8412048192771084,0.3771551724137931,4.353448275862069,-0.6047923632938144,29.0,7.536577472566709,-0.58745027619374,5.625,1.375,0.4051724137931034,2.155172413793104,4,116.0,0.0,49.56896551724138,58.189655172413794,0.0,0.0,0.0,7.893261956645098,0.0
gemini|P03|zh|0|google,gemini,google/gemini-3.5-flash,P03,zh,0,general,against,404,17,google,gemini|P03|en|0,0.8864788732394367,0.4356435643564356,1.6856435643564356,-0.5539473599695338,23.764705882352946,5.031518306693143,-0.6505431911030125,5.823529411764706,3.176470588235294,0.3341584158415842,2.4752475247524752,5,80.8,0.0,108.91089108910892,74.25742574257426,0.0,0.0,0.0,9.022639604854568,0.0
gemini|P03|es|0|google,gemini,google/gemini-3.5-flash,P03,es,0,general,against,467,17,google,gemini|P03|en|0,0.8103349282296651,0.3768736616702355,5.316916488222698,-0.6407214683103255,27.47058823529412,6.520330197340695,-0.6163486897088075,6.294117647058823,1.8235294117647056,0.4539614561027837,2.1413276231263385,5,93.4,0.0,83.5117773019272,47.10920770877944,0.0,0.0,0.0,7.278128640644297,0.0
gemini|P03|ja|0|google,gemini,google/gemini-3.5-flash,P03,ja,0,general,against,617,18,google,gemini|P03|en|0,0.772323943661972,0.2884927066450567,1.6029173419773095,-0.7492309333682133,34.27777777777778,8.194729694824707,-0.6141160396470192,7.277777777777778,4.388888888888889,0.5056726094003241,1.6207455429497568,5,123.4,0.0,51.86385737439222,59.96758508914101,0.0,0.0,0.0,9.188063719430067,0.0
gemini|P03|tr|0|google,gemini,google/gemini-3.5-flash,P03,tr,0,general,against,336,17,google,gemini|P03|en|0,0.9307317073170732,0.5892857142857143,6.964285714285714,-0.4037242715937797,19.764705882352946,5.006613273520158,-0.5957733827563941,6.294117647058823,1.1764705882352942,0.1904761904761904,2.9761904761904763,5,67.2,0.0,59.523809523809526,71.42857142857143,0.0,0.0,0.0,7.621442789583969,0.0
gemini|P03|hi|0|google,gemini,google/gemini-3.5-flash,P03,hi,0,general,against,507,17,google,gemini|P03|en|0,0.8030131004366813,0.3431952662721893,4.335305719921105,-0.6792141617404466,29.823529411764707,6.6542777042069625,-0.635160212177699,5.941176470588236,1.1764705882352942,0.4280078895463511,1.9723865877712032,5,101.4,0.0,82.84023668639053,49.30966469428008,0.0,0.0,0.0,7.875425208467942,0.0
gemini|P03|es|1|google,gemini,google/gemini-3.5-flash,P03,es,1,general,against,455,15,google,gemini|P03|en|1,0.79,0.4087912087912088,5.325274725274725,-0.6007668119858032,30.33333333333333,8.557925872435169,-0.5599049222265438,6.6,2.066666666666667,0.4505494505494505,0.0,5,91.0,0.0,63.73626373626374,52.747252747252745,0.0,0.0,2.197802197802198,7.266592614513775,0.0
gemini|P03|ru|0|google,gemini,google/gemini-3.5-flash,P03,ru,0,general,against,358,17,google,gemini|P03|en|0,0.937346278317152,0.6256983240223464,6.907821229050279,-0.3625295140475285,21.058823529411764,4.2934628831995,-0.6612958047788735,6.882352941176471,1.7058823529411764,0.2737430167597765,2.793296089385475,5,71.6,0.0,75.41899441340782,86.59217877094972,0.0,0.0,0.0,7.887140810285852,0.0
gemini|P03|zh|1|google,gemini,google/gemini-3.5-flash,P03,zh,1,general,against,389,15,google,gemini|P03|en|1,0.8674117647058824,0.4498714652956298,1.6966580976863752,-0.5197260721351299,25.933333333333334,8.53954387094589,-0.5045644829503324,6.0,3.533333333333333,0.3290488431876606,0.0,5,77.8,0.0,125.96401028277634,74.55012853470437,0.0,0.0,2.570694087403599,8.991927732686982,0.0
gemini|P03|ru|1|google,gemini,google/gemini-3.5-flash,P03,ru,1,general,against,325,15,google,gemini|P03|en|1,0.9294202898550724,0.683076923076923,7.061538461538461,-0.3266506369164983,21.666666666666668,5.7404164441598615,-0.5810997893539247,6.933333333333334,1.6666666666666667,0.2369230769230769,0.0,5,65.0,0.0,61.53846153846154,89.23076923076923,0.0,3.076923076923077,3.076923076923077,7.885254053524709,0.0
gemini|P03|ja|1|google,gemini,google/gemini-3.5-flash,P03,ja,1,general,against,582,16,google,gemini|P03|en|1,0.759812382739212,0.3144329896907216,1.6237113402061856,-0.7239528645469834,36.375,12.878276282173792,-0.4770591012710024,7.3125,4.375,0.4896907216494845,0.0,5,116.4,0.0,60.13745704467354,61.855670103092784,0.0,0.0,0.0,9.1500361278056,0.0
gemini|P03|tr|1|google,gemini,google/gemini-3.5-flash,P03,tr,1,general,against,337,15,google,gemini|P03|en|1,0.9361111111111112,0.6320474777448071,6.789317507418398,-0.3753913758287408,22.466666666666665,6.610237370566816,-0.5453272905463187,6.733333333333333,1.5333333333333334,0.1810089020771513,0.0,5,67.4,0.0,47.47774480712166,59.34718100890208,0.0,0.0,2.967359050445104,7.629428031305999,0.0
gemini|P03|hi|1|google,gemini,google/gemini-3.5-flash,P03,hi,1,general,against,480,16,google,gemini|P03|en|1,0.82292343387471,0.3875,4.364583333333333,-0.6229250490330054,30.0,11.24870362901136,-0.4545911682373535,6.375,1.1875,0.43125,0.0,5,96.0,0.0,72.91666666666667,56.25,0.0,0.0,2.083333333333333,7.908489393716221,0.0
gemini|P05|zh|1|google,gemini,google/gemini-3.5-flash,P05,zh,1,educated,against,384,17,google,gemini|P05|en|1,0.8808358208955225,0.4192708333333333,1.6796875,-0.5268781428968962,22.58823529411765,8.031646963181117,-0.4753966135015663,5.705882352941177,2.8823529411764706,0.2890625,2.6041666666666665,6,64.0,0.0,140.625,59.895833333333336,2.6041666666666665,0.0,0.0,8.99615079206776,0.0
gemini|P05|es|1|google,gemini,google/gemini-3.5-flash,P05,es,1,educated,against,435,17,google,gemini|P05|en|1,0.7957512953367875,0.4,5.609195402298851,-0.6280321103513311,25.58823529411765,10.283839406621269,-0.4266381583773053,6.0,1.588235294117647,0.4436781609195402,2.2988505747126435,6,72.5,0.0,59.770114942528735,43.67816091954023,2.2988505747126435,0.0,0.0,7.253906250438346,0.0
gemini|P05|ru|1|google,gemini,google/gemini-3.5-flash,P05,ru,1,educated,against,330,17,google,gemini|P05|en|1,0.9479715302491104,0.6060606060606061,7.309090909090909,-0.3900195195742787,19.41176470588235,7.583360267135966,-0.4381681674216696,6.235294117647059,1.3529411764705883,0.2212121212121212,3.0303030303030303,6,55.0,0.0,60.60606060606061,100.0,3.0303030303030303,6.0606060606060606,0.0,7.966502570905047,0.0
gemini|P05|tr|1|google,gemini,google/gemini-3.5-flash,P05,tr,1,educated,against,312,17,google,gemini|P05|en|1,0.9390114068441064,0.5897435897435898,6.9423076923076925,-0.4109579461328176,18.352941176470587,6.688994472925174,-0.4657765624370516,5.588235294117647,0.9411764705882352,0.1826923076923076,3.2051282051282053,6,52.0,0.0,41.66666666666666,80.12820512820512,3.2051282051282053,0.0,0.0,7.77337534311043,0.0
gemini|P05|ja|1|google,gemini,google/gemini-3.5-flash,P05,ja,1,educated,against,536,17,google,gemini|P05|en|1,0.786406570841889,0.3227611940298507,1.9402985074626864,-0.6800589379554679,31.529411764705884,9.056197098250069,-0.5537237285841974,7.117647058823529,3.588235294117647,0.4365671641791044,1.8656716417910448,6,89.33333333333333,0.0,31.71641791044776,70.8955223880597,1.8656716417910448,0.0,0.0,9.282775858637564,0.0
gemini|P05|hi|1|google,gemini,google/gemini-3.5-flash,P05,hi,1,educated,against,411,17,google,gemini|P05|en|1,0.8441988950276244,0.3771289537712895,4.664233576642336,-0.607542104827962,24.176470588235293,8.79797770880933,-0.466376047929338,5.411764705882353,0.7058823529411765,0.3527980535279805,2.4330900243309004,6,68.5,0.0,65.69343065693431,51.09489051094891,2.4330900243309004,4.866180048661801,0.0,8.03819258611202,0.0
gemini|P05|es|0|google,gemini,google/gemini-3.5-flash,P05,es,0,educated,against,442,17,google,gemini|P05|en|0,0.786259541984733,0.3823529411764705,5.6289592760181,-0.6367353035563255,26.0,9.931012033020602,-0.4472177948178025,5.529411764705882,1.1176470588235294,0.4457013574660634,0.0,5,88.4,0.0,61.085972850678736,52.036199095022624,0.0,0.0,2.262443438914027,7.250991154322634,0.0
gemini|P05|zh|0|google,gemini,google/gemini-3.5-flash,P05,zh,0,educated,against,394,17,google,gemini|P05|en|0,0.8981449275362319,0.434010152284264,1.66751269035533,-0.5193446510073777,23.176470588235293,8.661951960424734,-0.4558805828281033,5.705882352941177,3.4705882352941178,0.2944162436548223,0.0,5,78.8,0.0,119.28934010152284,78.68020304568527,0.0,0.0,2.538071065989848,9.073623626501238,0.0
gemini|P05|ru|0|google,gemini,google/gemini-3.5-flash,P05,ru,0,educated,against,330,17,google,gemini|P05|en|0,0.931103202846975,0.6181818181818182,7.557575757575758,-0.3834513316685556,19.41176470588235,8.500432514947487,-0.3909162759423375,6.235294117647059,1.2941176470588236,0.2303030303030303,0.0,5,66.0,0.0,78.78787878787878,96.96969696969695,0.0,3.0303030303030303,3.0303030303030303,7.92378529749487,0.0
gemini|P05|ja|0|google,gemini,google/gemini-3.5-flash,P05,ja,0,educated,against,572,18,google,gemini|P05|en|0,0.8078776290630975,0.2972027972027972,1.8583916083916083,-0.692289365039792,31.77777777777778,10.729593795038838,-0.4951655019808191,6.666666666666667,3.7222222222222223,0.4475524475524475,0.0,5,114.4,0.0,38.46153846153846,82.16783216783217,0.0,0.0,0.0,9.324460915910048,0.0
gemini|P05|tr|0|google,gemini,google/gemini-3.5-flash,P05,tr,0,educated,against,335,17,google,gemini|P05|en|0,0.9442657342657342,0.6,6.931343283582089,-0.3980781392235424,19.705882352941178,7.363463059953117,-0.4559555875743059,5.823529411764706,0.9411764705882352,0.1940298507462686,0.0,5,67.0,0.0,47.76119402985075,83.58208955223881,0.0,0.0,2.985074626865672,7.7434491015287135,0.0
gemini|P04|es|0|google,gemini,google/gemini-3.5-flash,P04,es,0,expert,for,446,14,google,gemini|P04|en|0,0.797682619647355,0.4820627802690583,5.816143497757848,-0.51643026741855,31.857142857142858,9.78898236918301,-0.5298970880971623,6.642857142857143,1.5,0.405829596412556,0.0,4,111.5,0.0,73.99103139013452,44.84304932735426,0.0,0.0,0.0,7.441586495458061,8.722032612817596
gemini|P05|hi|0|google,gemini,google/gemini-3.5-flash,P05,hi,0,educated,against,438,18,google,gemini|P05|en|0,0.8504370179948587,0.3904109589041096,4.618721461187215,-0.6139031596508197,24.33333333333333,9.542474706773488,-0.436620098007652,5.611111111111111,0.8888888888888888,0.3675799086757991,0.0,5,87.6,0.0,70.77625570776256,52.51141552511415,0.0,0.0,2.2831050228310503,8.014017913372815,0.0
gemini|P04|zh|0|google,gemini,google/gemini-3.5-flash,P04,zh,0,expert,for,397,14,google,gemini|P04|en|0,0.8732758620689655,0.4886649874055415,1.7581863979848866,-0.4814525519193699,28.357142857142858,10.688650651380312,-0.4525069314292653,6.214285714285714,2.642857142857143,0.3249370277078086,0.0,4,99.25,0.0,130.9823677581864,68.01007556675063,0.0,0.0,0.0,9.134202455321471,29.60969044414536
gemini|P04|ru|0|google,gemini,google/gemini-3.5-flash,P04,ru,0,expert,for,340,14,google,gemini|P04|en|0,0.950378006872852,0.7147058823529412,7.697058823529412,-0.30122252148102,24.285714285714285,7.59988432531981,-0.523303017263107,7.571428571428571,1.2857142857142858,0.1970588235294117,2.9411764705882355,4,85.0,0.0,73.52941176470588,94.11764705882354,0.0,8.823529411764707,0.0,8.06992549823265,8.572493477450616
gemini|P04|ja|0|google,gemini,google/gemini-3.5-flash,P04,ja,0,expert,for,573,14,google,gemini|P04|en|0,0.8283206106870229,0.3211169284467713,1.7835951134380454,-0.6964821877799685,40.92857142857143,12.760903547188944,-0.5246404047366746,7.428571428571429,4.0,0.3769633507853403,0.0,4,143.25,0.0,34.904013961605585,55.846422338568935,0.0,0.0,0.0,9.234137802709617,22.1606648199446
gemini|P04|tr|0|google,gemini,google/gemini-3.5-flash,P04,tr,0,expert,for,345,14,google,gemini|P04|en|0,0.9363513513513512,0.6028985507246377,6.76231884057971,-0.3999464258385857,24.642857142857142,6.901584465314333,-0.5624215162187876,7.714285714285714,1.3571428571428572,0.1594202898550724,0.0,4,86.25,0.0,55.072463768115945,75.3623188405797,0.0,0.0,0.0,7.838939567946387,9.643605870020965
gemini|P04|hi|0|google,gemini,google/gemini-3.5-flash,P04,hi,0,expert,for,421,14,google,gemini|P04|en|0,0.8531182795698925,0.4631828978622327,4.850356294536817,-0.5461223774926569,30.071428571428573,9.514881346236908,-0.5192842492252165,6.714285714285714,1.0,0.3562945368171021,0.0,4,105.25,0.0,66.5083135391924,54.63182897862233,0.0,4.750593824228028,0.0,8.229777612806107,10.999521759923482
gemini|P04|es|1|google,gemini,google/gemini-3.5-flash,P04,es,1,expert,for,514,15,google,gemini|P04|en|1,0.7694623655913979,0.3891050583657587,5.607003891050583,-0.6088819837263126,34.266666666666666,16.36401394465772,-0.353592969832697,7.133333333333334,1.6,0.424124513618677,0.0,5,102.8,0.0,70.03891050583658,42.80155642023346,0.0,0.0,0.0,7.4129463527022175,6.4780088646437095
gemini|P04|zh|1|google,gemini,google/gemini-3.5-flash,P04,zh,1,expert,for,418,15,google,gemini|P04|en|1,0.8770731707317074,0.430622009569378,1.7177033492822966,-0.506161865816477,27.866666666666667,12.088168162455778,-0.3949083652001532,6.4,2.7333333333333334,0.3157894736842105,0.0,5,83.6,0.0,100.47846889952152,69.377990430622,0.0,9.569377990430622,0.0,9.154792634347157,23.13624678663239
gemini|P04|ru|1|google,gemini,google/gemini-3.5-flash,P04,ru,1,expert,for,401,15,google,gemini|P04|en|1,0.9058522727272728,0.6034912718204489,7.613466334164588,-0.4007474051516866,26.73333333333333,12.953028695287925,-0.3472302305791406,7.0,1.8,0.2219451371571072,0.0,5,80.2,0.0,62.34413965087282,84.78802992518703,2.493765586034913,4.987531172069826,0.0,8.051467775193293,6.076111288775184
gemini|P04|ja|1|google,gemini,google/gemini-3.5-flash,P04,ja,1,expert,for,635,15,google,gemini|P04|en|1,0.8048464163822526,0.2771653543307086,1.737007874015748,-0.7473921798433699,42.333333333333336,17.165857586111642,-0.4229885374625605,7.666666666666667,4.933333333333334,0.3952755905511811,0.0,5,127.0,0.0,34.645669291338585,58.267716535433074,0.0,0.0,0.0,9.22352223554459,19.607843137254903
gemini|P04|tr|1|google,gemini,google/gemini-3.5-flash,P04,tr,1,expert,for,382,15,google,gemini|P04|en|1,0.9178378378378378,0.5837696335078534,6.866492146596858,-0.4027063691377463,25.466666666666665,10.27386884052843,-0.4250859034577057,7.066666666666666,1.7333333333333334,0.1465968586387434,0.0,5,76.4,0.0,36.64921465968586,73.29842931937172,0.0,0.0,0.0,7.914546242140035,7.078986587183309
gemini|P06|es|1|google,gemini,google/gemini-3.5-flash,P06,es,1,expert,against,375,12,google,gemini|P06|en|1,0.7808588957055214,0.4213333333333333,5.856,-0.5940065822625832,31.25,8.001420328462146,-0.5922990678296487,6.583333333333333,1.4166666666666667,0.44,0.0,3,125.0,0.0,58.66666666666666,64.0,0.0,0.0,2.6666666666666665,7.270207106628301,0.0
gemini|P06|zh|1|google,gemini,google/gemini-3.5-flash,P06,zh,1,expert,against,302,12,google,gemini|P06|en|1,0.8373122529644269,0.4966887417218543,1.6788079470198676,-0.4962281494469527,25.166666666666668,4.969604581550699,-0.6701911433821023,5.833333333333333,2.5,0.314569536423841,0.0,3,100.66666666666669,0.0,102.64900662251657,79.47019867549669,0.0,0.0,3.3112582781456954,8.693621956564304,0.0
gemini|P04|hi|1|google,gemini,google/gemini-3.5-flash,P04,hi,1,expert,for,491,15,google,gemini|P04|en|1,0.8236651583710408,0.3645621181262729,4.682281059063136,-0.6471677559701791,32.733333333333334,13.440167232519665,-0.4178406632457422,6.333333333333333,1.0666666666666669,0.384928716904277,0.0,5,98.2,0.0,63.13645621181263,46.84317718940937,0.0,8.146639511201629,0.0,8.160746992559503,8.067940552016985
gemini|P06|ja|1|google,gemini,google/gemini-3.5-flash,P06,ja,1,expert,against,447,13,google,gemini|P06|en|1,0.7880904522613065,0.3624161073825503,1.7718120805369129,-0.659620823276053,34.38461538461539,9.16095393084568,-0.5792474837345605,6.846153846153846,3.4615384615384617,0.4429530201342282,0.0,3,149.0,0.0,64.87695749440716,73.8255033557047,0.0,0.0,0.0,9.046642727233502,1.1933174224343674
gemini|P06|ru|1|google,gemini,google/gemini-3.5-flash,P06,ru,1,expert,against,270,12,google,gemini|P06|en|1,0.9317647058823528,0.6925925925925925,7.681481481481481,-0.3120053450142292,22.5,5.018148879997303,-0.6352844152504059,6.833333333333333,1.25,0.2259259259259259,0.0,3,90.0,0.0,62.96296296296296,100.0,0.0,3.703703703703704,3.703703703703704,7.809120208455232,0.0
gemini|P06|tr|1|google,gemini,google/gemini-3.5-flash,P06,tr,1,expert,against,271,12,google,gemini|P06|en|1,0.8997297297297299,0.6752767527675276,6.892988929889299,-0.3471202136779789,22.58333333333333,6.54298143514148,-0.5507168354698034,6.666666666666667,0.75,0.1660516605166051,0.0,3,90.33333333333331,0.0,55.35055350553505,88.56088560885608,0.0,0.0,7.380073800738008,7.710990915687075,0.0
gemini|P06|es|0|google,gemini,google/gemini-3.5-flash,P06,es,0,expert,against,450,13,google,gemini|P06|en|0,0.818004987531172,0.4555555555555555,5.871111111111111,-0.5607233510361193,34.61538461538461,6.764348472425874,-0.6730598306145917,7.076923076923077,1.9230769230769231,0.44,4.444444444444445,3,150.0,0.0,80.0,51.11111111111112,0.0,0.0,4.444444444444445,7.3034828207221665,0.0
